kind,kwh_per_interval
charge,792.8373066707825
charge,789.534255372009
charge,762.1047575931585
charge,767.9477483373519
charge,833.3333333333333
charge,833.3333333333333
charge,804.7523844699499
charge,784.0932671119282
charge,48.51813571652724
charge,43.157214023178994
discharge,11.635894390080239
charge,23.16064134931287
charge,52.98947097888049
charge,38.86619434255579
charge,25.839990225833276
charge,37.24252027734872
charge,68.08291795808191
charge,26.271028535263895
charge,21.504620748006573
charge,53.71561291066553
charge,31.951469778386013
discharge,6.368238571094253
charge,12.032704752998143
charge,17.109956963412287
charge,29.804179847588784
charge,33.719244974231174
charge,44.0480450587288
charge,64.14010972989809
charge,48.92048782111942
charge,21.82046056411764
charge,19.87151955444392
charge,57.86769183564559
charge,76.63488579435568
charge,64.03207840608184
charge,28.858153004113774
charge,6.537446482009386
charge,8.986297762227196
charge,33.955555906474274
charge,26.63217436315285
discharge,74.1888705206967
discharge,833.3333333333333
discharge,60.278892356046754
discharge,46.777239595154015
discharge,4.981315466388992
charge,14.880438510322847
charge,2.2064538194838406
discharge,35.31379182653427
discharge,52.813684437022516
discharge,9.274550835885293
charge,713.6604458954628
discharge,63.635004295713316
discharge,800.8783427701433
discharge,780.6157833333332
discharge,715.1740333333332
discharge,675.3041666666666
discharge,604.2095666666667
discharge,575.4167666666667
discharge,571.5458333333335
discharge,500.44119999999987
discharge,464.66904999999997
discharge,468.0054166666665
discharge,407.15436666666665
discharge,342.7489499999999
discharge,306.0595833333334
discharge,264.7047166666666
discharge,219.86784999999986
discharge,187.62541666666664
discharge,166.88761852555672
charge,823.4772594178703
charge,771.097520724604
charge,727.2965898229997
charge,739.1097646444662
charge,784.6433296662408
charge,765.0333811097373
charge,780.1390784865669
charge,818.770402020111
charge,833.3333333333333
