date,plan_total_kwh,plan_cost_yuan_template,final_contract_total_kwh,adjust_cost_yuan_template,emergency_kwh,emergency_cost_yuan,total_cost_yuan,curtail_kwh,adjust_up_kwh,adjust_down_kwh,soc_start_kwh,soc_end_kwh,plan_cost_yuan_natural,adjust_cost_yuan_natural
2025-09-01,72090.94889016767,40959.238355878326,65221.221976468005,2320.391159776417,0.0,0.0,43285.509486742376,6681.332038193235,0.0,6869.726913699655,9197.530250061609,10800.0,40965.11832696596,2320.391159776417
2025-09-02,65745.25270666301,39831.240852206254,63199.935202179375,1150.5370600544636,0.0,0.0,41032.678845893905,5504.953897099802,0.0,2545.3175044836366,10800.0,10800.0,39882.14178583944,1150.5370600544638
2025-09-03,64938.41451078182,40383.42912132172,63052.621301130755,685.646704557159,0.0,0.0,41063.35626693454,4116.834509350875,0.0,1885.7932096510633,10800.0,10778.143428439293,40377.70956237738,685.646704557159
2025-09-04,62673.66570114165,39916.07766828166,61651.30053895177,442.5144938819576,0.0,0.0,40435.09693970186,4160.593238877904,0.0,1022.3651621898814,10778.143428439293,10800.0,39992.582445819906,442.5144938819576
2025-09-05,36246.239869004785,18831.599790367487,34046.51013985209,1151.9653293388096,0.0,0.0,19996.596144511004,24189.87107599953,0.0,2199.7297291526947,10800.0,10322.585365365268,18844.630815172193,1151.9653293388096
2025-09-06,35127.13111078224,19201.781619225847,34083.24360232313,541.1153328075304,0.0,0.0,19686.14945634403,22339.007635313188,0.0,1043.887508459105,10322.585365365268,10705.475452952956,19145.034123536498,541.1153328075305
2025-09-07,55603.10377341129,35958.37759208883,59027.69669048071,3581.9101334376073,1171.1807284621423,6339.357286469937,45892.048003634896,1740.1670006537483,3424.592917069415,0.0,10705.475452952956,10419.079297626573,35970.78058372735,3581.910133437608
2025-09-08,52356.36141663344,33262.239728497996,62836.84820981555,11819.193492526849,45.295243669187926,227.34063563062492,45321.343846523705,532.1861667111955,10480.486793182115,0.0,10419.079297626573,9576.475837780767,33274.80971836623,11819.193492526849
2025-09-09,52651.39693259515,33432.05792546879,57593.12298188958,6988.423949064965,531.4561433663646,2891.7467117579517,43321.3274146579,1296.1437166666665,4941.726049294433,0.0,9576.475837780767,9483.298719868351,33441.156753834985,6988.423949064966
2025-09-10,54827.310396421635,34647.37634799599,64462.9653534345,10690.65152509923,1364.7363210414783,7091.393265331166,52418.44554204803,413.1774348177554,9635.65495701286,0.0,9483.298719868351,9712.726609705262,34636.400751617635,10690.65152509923
