date,interval_index,scenario_id,scenario_net_kwh,center_forecast_kwh,actual_net_kwh
2025-03-20,21,2,540.155,592.434167,620.168333
2025-03-20,22,2,577.14855,628.96825,616.623083
2025-03-20,23,2,593.494342,629.010492,612.46375
2025-03-20,24,2,589.885833,618.669167,603.93
2025-03-20,25,2,595.150283,641.316525,589.794633
2025-03-20,26,2,595.10545,642.077358,581.46405
2025-03-20,27,2,579.925,614.4975,585.585
2025-03-20,28,2,569.540142,619.765708,599.725133
2025-03-20,29,2,560.106283,626.905975,616.739317
2025-03-20,30,2,575.743333,630.515833,625.595
2025-03-20,31,2,593.577467,624.007958,619.433917
2025-03-20,32,2,601.555267,631.823258,617.8444
2025-03-20,33,2,585.929167,644.470833,607.115
2025-03-20,34,2,515.798092,635.34085,575.430067
2025-03-20,35,2,603.904525,704.076108,671.463117
2025-03-20,36,2,783.435833,837.290833,827.015
2025-03-20,37,2,766.857983,845.877275,791.949933
2025-03-20,38,2,718.432742,814.061233,709.963317
2025-03-20,39,2,702.210208,789.955208,671.370833
2025-03-20,40,2,625.535792,749.887942,629.044867
2025-03-20,41,2,562.697617,702.173967,586.155917
2025-03-20,42,2,537.212917,662.270417,531.182083
2025-03-20,43,2,474.303967,605.869092,446.5755
2025-03-20,44,2,392.683067,533.942767,401.241617
2025-03-20,45,2,330.973542,479.585625,369.577083
2025-03-20,46,2,216.46655,387.734508,280.6902
2025-03-20,47,2,274.184658,472.637475,334.578067
2025-03-20,48,2,420.494375,615.791875,488.179583
2025-03-20,49,2,432.151133,569.482317,482.80385
2025-03-20,50,2,403.290083,507.59255,438.3714
2025-03-20,51,2,374.312708,485.322292,411.1575
2025-03-20,52,2,305.61935,404.397192,332.672183
2025-03-20,53,2,291.118992,371.080092,278.005133
2025-03-20,54,2,236.715417,326.178958,262.820417
2025-03-20,55,2,115.443492,250.627625,221.283767
2025-03-20,56,2,111.242133,220.373017,150.518367
2025-03-20,57,2,169.456875,209.697917,77.185417
