slot,label,slot_start_hhmm,mean,p10,p50,p90,min,max,shape,annex1_price
83,14:00-14:10,14:00,0.9754490410958916,0.69948,0.9523,1.31544,0.4811,1.4592,1.2731037465867094,0.9754
84,14:10-14:20,14:10,1.0002054794520552,0.70992,0.9751,1.3545800000000001,0.5074,1.4822,1.3054145215175716,1.0002
85,14:20-14:30,14:20,0.997781917808219,0.70848,0.9847,1.3212199999999998,0.5381,1.4394,1.3022514189065062,0.9978
86,14:30-14:40,14:30,1.0270865753424654,0.73646,1.0153,1.3593199999999999,0.5646,1.5053,1.3404982854546297,1.0271
87,14:40-14:50,14:40,1.0906063013698624,0.78862,1.0726,1.4421000000000002,0.5867,1.5372,1.4234008234455309,1.0906
88,14:50-15:00,14:50,0.9376180821917808,0.65932,0.9366,1.22102,0.4626,1.3326,1.223728809005468,0.9376
89,15:00-15:10,15:00,0.6694043835616436,0.43262,0.6851,0.8539000000000001,0.2515,0.9561,0.8736706816959364,0.6694
90,15:10-15:20,15:10,0.6599739726027399,0.43457999999999997,0.6792,0.84192,0.2829,0.9117,0.8613626153410356,0.66
91,15:20-15:30,15:20,0.7217131506849314,0.49034,0.7503,0.90586,0.3429,0.9899,0.9419412776966996,0.7217
92,15:30-15:40,15:30,0.7307558904109591,0.49502,0.7635,0.9101400000000001,0.3284,1.0413,0.9537433763605934,0.7308
93,15:40-15:50,15:40,0.7534054794520553,0.52722,0.7824,0.9272200000000002,0.3517,1.0102,0.9833044046173572,0.7534
94,15:50-16:00,15:50,0.7823328767123281,0.5599,0.8107,0.96758,0.3876,1.0505,1.021058891299389,0.7823
95,16:00-16:10,16:00,0.8055224657534249,0.58276,0.829,0.98692,0.4239,1.0839,1.0513246985801654,0.8055
96,16:10-16:20,16:10,0.8271399999999998,0.59692,0.8604,0.99994,0.4817,1.0778,1.0795387442983932,0.8271
97,16:20-16:30,16:20,0.8519134246575335,0.6263,0.8888,1.0204,0.4914,1.0929,1.1118716888383318,0.8519
98,16:30-16:40,16:30,0.8790728767123291,0.6569999999999999,0.9152,1.0498,0.4975,1.1491,1.1473187483047662,0.8791
99,16:40-16:50,16:40,0.9024243835616436,0.6869999999999999,0.9388,1.0710600000000001,0.56,1.1532,1.1777958820204422,0.9024
100,16:50-17:00,16:50,0.9162898630136992,0.68198,0.9589,1.09232,0.5557,1.1698,1.1958923617902117,0.9163
101,17:00-17:10,17:00,0.926384657534247,0.65586,0.988,1.1035199999999998,0.5262,1.2008,1.2090675459194553,0.9264
102,17:10-17:20,17:10,0.9461676712328779,0.67008,1.0067,1.11474,0.5336,1.174,1.2348872738574803,0.9462
103,17:20-17:30,17:20,0.9741663013698632,0.72374,1.0431,1.12974,0.5758,1.181,1.2714295835271325,0.9742
104,17:30-17:40,17:30,0.9862210958904107,0.7276,1.063,1.1349799999999999,0.5853,1.2098,1.2871628544842706,0.9862
105,17:40-17:50,17:40,0.9759786301369866,0.70628,1.0632,1.12922,0.5743,1.1793,1.2737949377858024,0.976
106,17:50-18:00,17:50,1.0741761643835612,0.8556400000000001,1.1351,1.1999,0.7589,1.287,1.4019570902796314,1.0742
107,18:00-18:10,18:00,1.23127506849315,1.09834,1.249,1.32504,0.9981,1.4337,1.606994150116079,1.2313
108,18:10-18:20,18:10,1.2560512328767135,1.12852,1.2684,1.33958,1.0657,1.4668,1.63933067039942,1.2561
109,18:20-18:30,18:20,1.2446528767123273,1.10466,1.2616,1.3486,1.0398,1.4606,1.6244541475607623,1.2447
110,18:30-18:40,18:30,1.2545246575342475,1.1136,1.265,1.35516,1.0529,1.4648,1.637338266177302,1.2545
