date,published_plan_kwh,published_plan_cost_yuan,natural_plan_kwh,natural_plan_cost_yuan,emergency_kwh,emergency_cost_yuan,natural_total_cost_yuan,surplus_kwh,soc_start_kwh,soc_end_kwh,forecast_mae_kwh,weekday_weight,residual_window_days,scenario_count
2025-04-17,58377.1709764708,35367.94767249891,58547.2459764708,35440.67174249891,0.0,0.0,35440.67174249891,1548.076769650198,1541.8133316423036,1839.824351111111,42.259788541666666,1.0,14,14
2025-04-18,26183.094946604942,12928.966525749334,26146.58744660494,12913.355918749334,0.0,0.0,12913.355918749334,17202.602735288063,1839.824351111111,1918.7631510185195,40.75088796296297,1.0,14,14
2025-04-19,25977.262765341562,12946.86604878403,25824.334432008232,12881.473893450697,0.0,0.0,12881.473893450697,16704.152587975303,1918.7631510185195,1954.6670121216264,44.20584010416667,1.0,14,14
2025-04-20,55542.2979340249,33502.58481449001,55573.3729340249,33515.872484490006,0.0,0.0,33515.872484490006,31.23666666666645,1954.6670121216264,1741.4002099870331,39.70222378472222,1.0,14,14
2025-04-21,55574.70799929011,33410.403619851255,55556.48049929012,33402.609540851256,0.0,0.0,33402.609540851256,3528.288545715023,1741.4002099870331,1494.0805195370365,61.55153368055557,1.0,14,14
2025-04-22,57209.11956330048,34504.14329638299,57207.67206330049,34503.52434538299,0.0,0.0,34503.52434538299,1061.9947103004351,1494.0805195370365,1796.793759259259,48.85606354166666,1.0,14,14
2025-04-23,58367.96411223558,34734.949791367566,58363.61161223559,34733.08866236756,0.0,0.0,34733.08866236756,3293.6006181862085,1796.793759259259,1916.4095381481497,56.09878443287036,1.0,14,14
2025-04-24,55529.47879465741,33514.685553447074,55715.06212799074,33594.04098678041,0.0,0.0,33594.04098678041,5230.862673794245,1916.4095381481497,1624.3685736138943,69.83970353009259,1.0,14,14
2025-04-25,25416.929359342277,12391.25712350044,25374.21269267561,12372.991476833775,0.0,0.0,12372.991476833775,21116.786796825938,1624.3685736138943,1439.2124299126856,50.55622262731481,1.0,14,14
2025-04-26,25378.563446924178,12451.624394891358,25224.11094692418,12385.580505891357,0.0,0.0,12385.580505891357,23115.33885967078,1439.2124299126856,1226.325988240743,72.95546244212963,1.0,14,14
2025-04-27,54504.6124599681,32535.540351476786,54517.33353762551,32540.979884283093,416.35615131378444,2801.666577384643,35342.64646166773,2500.609497938386,1226.325988240743,1304.1267909156402,46.32302540509258,1.0,14,14
2025-04-28,53527.09386279332,31927.669977755708,53536.41611846925,31931.656174282733,5959.304094088233,40092.82246656219,72024.47864084493,25.661158333333447,1304.1267909156402,1375.0368587037037,52.35956759259258,1.0,14,14
2025-04-29,53992.81123379733,32571.652530668973,53964.77758179732,32559.66534107377,215.35408699999647,1502.3101109119755,34061.975451985745,3192.717286111118,1375.0368587037037,1432.6171235185159,52.56941689814814,1.0,14,14
2025-04-30,56750.50792740726,33591.25397030067,56789.374912740604,33607.873493229206,0.0,0.0,33607.873493229206,4997.951282272781,1432.6171235185159,1557.9194692523995,64.52675850694445,1.0,14,14
2025-05-01,53155.81246444881,32302.0473752783,53333.66163111548,32378.095678944966,2618.937106040123,13615.238193928004,45993.33387287297,1288.527081693091,1557.9194692523995,1200.0,55.151045601851855,1.0,14,14
2025-05-02,24845.20669119547,11997.99260388848,24805.039191195472,11980.81698088848,3764.0540744670775,19825.688600465706,31806.505581354184,11872.839683333332,1200.0,1200.0,72.11122094907407,1.0,14,14
2025-05-03,25940.14257654321,12607.095892025158,25745.287576543207,12523.775894025157,2328.896976083329,13231.144233778232,25754.920127803387,16420.56793333333,1200.0,1632.6183951851854,46.71781533564815,1.0,14,14
2025-05-04,54006.245866666664,33118.66385538205,54004.77336666666,33118.03421438205,957.0578167500012,5718.125488814676,38836.159703196725,0.0,1632.6183951851854,1420.4617612037039,64.74732731481478,1.0,14,14
2025-05-05,57223.648514624874,34888.36333043097,57226.04184795821,34889.3867197643,1947.1056184166669,13287.569254461376,48176.955974225675,332.3635812757222,1420.4617612037039,1449.216130693873,50.52769004629631,1.0,14,14
2025-05-06,54896.38104118108,34155.275523682896,54894.97604118108,34154.674745682896,1655.1471308744785,8568.871615353317,42723.54636103621,125.2047490000043,1449.216130693873,1314.1404127309115,53.1206232638889,1.0,14,14
2025-05-07,60054.8325348566,36518.15758648873,60043.96420152327,36513.5102871554,677.203909474998,4702.792773686628,41216.30306084202,1781.5206284050412,1314.1404127309115,1432.026841481481,46.52649484953705,1.0,7,7
2025-05-08,57731.78590504808,35970.149448708195,57903.83507171474,36043.71767237486,1549.7311365558342,10630.41608567999,46674.13375805486,74.66394166666623,1432.026841481481,1432.9980212024234,63.461372511574076,1.0,7,7
2025-05-09,28669.144690542576,15406.572707231206,28670.211357209242,15407.028813897872,0.0,0.0,15407.028813897872,16736.711853911518,1432.9980212024234,2314.2474961076514,35.37224045138889,1.0,7,7
2025-05-10,27405.90180799664,14746.054032764598,27237.43930799664,14674.019467764598,0.0,0.0,14674.019467764598,13740.18925137922,2314.2474961076514,1514.7284876742071,54.87358836805556,1.0,7,7
2025-05-11,57572.254342373315,35833.742611284266,57564.73100903998,35830.525633950936,1079.8018385733278,7466.649068466143,43297.174702417076,31.10228333333322,1514.7284876742071,1320.7572083333337,56.428166493055556,1.0,7,7
2025-05-12,60352.19134386788,37007.288228726116,60392.44134386788,37024.49912872611,0.0,0.0,37024.49912872611,4474.487514839501,1320.7572083333337,2083.954877629814,63.39237476851852,1.0,7,7
2025-05-13,57226.57778261334,35724.36734068201,57213.75528261334,35718.88443968201,0.0,0.0,35718.88443968201,577.056647191738,2083.954877629814,2006.2446629020342,51.328215740740745,1.0,7,7
2025-05-14,59959.27524089499,36846.13117115449,59915.38607422833,36827.36416348783,0.0,0.0,36827.36416348783,3582.5930191515226,2006.2446629020342,1969.7909442611092,38.41054010416667,1.0,14,14
2025-05-15,58915.07244906298,36883.779673592675,59093.05578239632,36959.88534692601,0.0,0.0,36959.88534692601,1590.7537071995819,1969.7909442611092,2994.0722137608113,39.45703796296296,1.0,14,14
2025-05-16,26975.77827152811,14870.79764215378,27020.37433252811,14889.86691783738,0.0,0.0,14889.86691783738,22670.712841191355,2994.0722137608113,2479.9133996147707,62.25610625,1.0,14,14
2025-05-17,27506.48115850514,15010.831615795287,27320.272538588473,14931.20880991892,0.0,0.0,14931.20880991892,14936.602925929736,2479.9133996147707,2266.1752483611126,57.7088167824074,1.0,14,14
2025-05-18,58466.61917173589,36363.733723778794,58446.16923065255,36354.98932897156,0.0,0.0,36354.98932897156,858.9220192904199,2266.1752483611126,2618.630801842593,44.273672222222224,1.0,14,14
2025-05-19,58917.896345365225,36502.93837011967,58951.58551203189,36517.34385778634,32.30833333333351,217.90355416666785,36735.24741195301,8387.335935330586,2618.630801842593,2503.4041350251464,58.19846232638887,1.0,14,14
2025-05-20,57266.1013816852,35647.36481315862,57243.6594968702,35637.76866321173,0.0,0.0,35637.76866321173,26.258750000000077,2503.4041350251464,1811.8367411694348,53.819023437500014,1.0,14,14
