date,time_start,price_yuan_per_kwh,forecast_net_kwh,actual_net_kwh,committed_plan_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,emergency_kwh,surplus_kwh
2025-07-24,00:50,0.4271,742.8009458333332,759.3302999999999,1573.355477083333,814.0251770833331,0.0,4782.711365778291,5515.334025153291,0.0,0.0
2025-07-24,01:00,0.4285,740.038125,773.2616666666665,1577.510625,804.2489583333333,0.0,5515.334025153291,6239.158087653291,0.0,0.0
2025-07-24,01:10,0.4311,754.9441374999999,742.7853499999999,872.9795458333333,130.19419583333342,0.0,6239.158087653291,6356.332863903291,0.0,0.0
2025-07-24,01:20,0.4302,730.9293333333333,722.4847666666666,1569.7217416666667,833.3333333333333,0.0,6356.332863903291,7106.332863903291,0.0,13.903641666666886
2025-07-24,01:30,0.4279,709.8545833333333,729.77,1522.7043749999998,792.9343749999998,0.0,7106.332863903291,7819.97380140329,0.0,0.0
2025-07-24,01:40,0.4312,726.58573125,728.3643,818.7033354166665,90.33903541666653,0.0,7819.97380140329,7901.2789332782895,0.0,0.0
2025-07-24,01:50,0.4333,747.8226854166667,734.5962833333333,842.6865416666667,108.09025833333342,0.0,7901.2789332782895,7998.56016577829,0.0,0.0
2025-07-24,02:00,0.4311,734.7833333333333,742.3033333333333,967.4189948094456,225.11566147611236,0.0,7998.56016577829,8201.164261106791,0.0,0.0
2025-07-24,02:10,0.4293,712.9656770833334,724.5060166666667,1534.9544104166666,810.4483937499999,0.0,8201.164261106791,8930.56781548179,0.0,0.0
2025-07-24,02:20,0.4324,714.2154708333333,714.8180666666667,796.6886249999998,81.87055833333312,0.0,8930.56781548179,9004.25131798179,0.0,0.0
2025-07-24,02:30,0.4367,719.2777083333333,724.5266666666666,760.2779166666667,35.75125000000002,0.0,9004.25131798179,9036.42744298179,0.0,0.0
2025-07-24,02:40,0.4348,717.5569729166666,729.4052499999999,775.3422791666665,45.93702916666649,0.0,9036.42744298179,9077.77076923179,0.0,0.0
2025-07-24,02:50,0.4335,719.2931895833333,715.9955833333333,785.7784041666667,69.78282083333346,0.0,9077.77076923179,9140.575307981791,0.0,0.0
2025-07-24,03:00,0.4357,714.6020833333332,704.0883333333333,800.9408333333331,96.8524999999999,0.0,9140.575307981791,9227.742557981792,0.0,0.0
2025-07-24,03:10,0.4374,702.936125,724.8829999999999,757.6565562499999,32.773556250000006,0.0,9227.742557981792,9257.238758606793,0.0,0.0
2025-07-24,03:20,0.4371,696.68081875,736.9429,730.4337625000001,0.0,6.5091375000000085,9257.238758606793,9250.006383606793,0.0,0.0
2025-07-24,03:30,0.4356,702.8541666666667,732.4683333333334,762.3527083333333,29.884375000000016,0.0,9250.006383606793,9276.902321106792,0.0,0.0
2025-07-24,03:40,0.4353,722.1602125,739.7963166666666,809.6983416666665,69.9020249999999,0.0,9276.902321106792,9339.814143606793,0.0,0.0
2025-07-24,03:50,0.436,701.2537124999999,725.7826,791.21071875,65.42811874999992,0.0,9339.814143606793,9398.699450481792,0.0,0.0
2025-07-24,04:00,0.4378,678.0160416666666,697.7033333333334,767.63875,69.9354166666666,0.0,9398.699450481792,9461.641325481793,0.0,0.0
2025-07-24,04:10,0.4401,698.0950291666668,695.4005166666665,764.6873895833335,69.286872916667,0.0,9461.641325481793,9523.999511106793,0.0,0.0
2025-07-24,04:20,0.4389,704.7160562499998,668.0585166666666,750.2951166666666,82.23659999999992,0.0,9523.999511106793,9598.012451106793,0.0,0.0
2025-07-24,04:30,0.4364,685.4758333333332,644.0699999999999,743.7093749999999,99.639375,0.0,9598.012451106793,9687.687888606793,0.0,0.0
2025-07-24,04:40,0.4393,688.7392062499999,704.2755166666666,743.4630020833332,39.18748541666667,0.0,9687.687888606793,9722.956625481793,0.0,0.0
2025-07-24,04:50,0.4422,703.5176749999999,735.6852333333333,774.9572374999999,39.2720041666667,0.0,9722.956625481793,9758.301429231793,0.0,0.0
2025-07-24,05:00,0.4395,692.0920833333333,710.935,780.20640625,69.27140625000003,0.0,9758.301429231793,9820.645694856794,0.0,0.0
2025-07-24,05:10,0.4333,662.8064333333334,706.4839666666668,729.640212864886,23.156246198219215,0.0,9820.645694856794,9841.486316435192,0.0,0.0
