表,变体,日期,时间段/项目,值1,值2,单位,口径,来源
表1,4-2,2025-12-21,全天购电量,93611.4325,93611.4325,kWh,模板行 00:10→次日00:10,payload
表1,4-2,2025-12-21,全天购电费/元（模板行口径）,72095.7104,0.0000,元,模板行 00:10→次日00:10,"payload（4-2 为 PMAT·x 全额、无 min；4-3 为 p·min(x,q)）"
表1,4-2,2025-12-21,全天购电费/元（自然日口径）,72108.7214,0.0000,元,自然日 00:00–24:00,summary daily
表2,4-2,2025-12-21,0:00-4:00,6053.9055,88.4628,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-2,2025-12-21,4:00-8:00,1243.3806,123.1191,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-2,2025-12-21,8:00-12:00,4889.5417,7862.6229,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-2,2025-12-21,12:00-16:00,7558.2759,2220.1094,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-2,2025-12-21,16:00-20:00,33.1171,4592.5646,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-2,2025-12-21,20:00-24:00,357.0213,3730.9905,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-2,2025-12-21,0:00 储电量,4467.5335,,kWh,自然日 00:00–24:00,payload/summary
表2,4-2,2025-12-21,24:00 储电量,1902.7300,,kWh,自然日 00:00–24:00,payload/summary
表3,4-2,2025-12-21,（当日无紧急购电）,0.0000,0.0000,kWh,自然日 00:00–24:00,payload
表3,4-2,2025-12-21,当日紧急购电费/元,0.0000,,元,自然日 00:00–24:00,summary daily
—,4-2,2025-12-21,当日总费用/元,72108.7214,,元,自然日 00:00–24:00,summary daily
表1,4-3,2025-03-20,10:00-10:10,0.0000,0.0000,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-3,2025-03-20,12:00-12:10,503.4913,531.0635,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-3,2025-03-20,14:00-14:10,0.0000,0.0000,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
