date,plan_total_kwh,plan_cost_yuan,adjusted_total_kwh,adjusted_settlement_yuan,natural_settlement_yuan,emergency_kwh,emergency_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh,weekday_weight
2025-04-27,53012.84345052606,32056.249533106322,53188.996564405905,33211.94389386436,33218.33615753103,0.0,0.0,33218.33615753103,1495.1400574074103,1436.5933522225273,1.0
2025-04-28,64667.230149111114,38272.27775095927,62043.44749538545,37602.26247750169,37602.71181383502,0.0,0.0,37602.71181383502,1436.5933522225273,1507.4710157648142,1.0
2025-04-29,54517.35593755178,33099.47305984315,53840.0572880072,33216.5310348842,33205.11874721754,0.0,0.0,33205.11874721754,1507.4710157648142,1760.9095982033969,1.0
2025-04-30,51329.15639165501,31661.182028124014,51356.98864217558,31678.358771244006,31679.447013244004,0.0,0.0,31679.447013244004,1760.9095982033969,1503.9795841574105,1.0
2025-05-01,54063.67699981588,33153.936323498856,54179.536958691795,34118.95718785015,34195.005491516815,2337.67336227572,11765.236756055998,45960.24224757281,1503.9795841574105,1200.0,1.0
2025-05-02,27461.504249207468,13913.260113589095,27358.033589485247,13880.17421328248,13876.495071615813,1933.5801518333326,9074.366252875643,22950.861324491456,1200.0,1200.0,1.0
2025-05-03,27488.035350102877,13485.2845846399,28655.332333158432,15453.879187764021,15374.603216764022,449.32655774999847,2437.980245800115,17812.583462564136,1200.0,1632.618395185185,1.0
2025-05-04,58512.63451634634,35532.62694100609,55469.81169026029,36230.82752846374,36230.19788746374,207.1673257222189,953.9695942899242,37184.16748175367,1632.618395185185,1420.4617612037036,1.0
2025-05-05,60661.6616707476,37910.31966095515,59311.765872188946,37418.83166305087,37419.855052384206,0.0,0.0,37419.855052384206,1420.4617612037036,1782.4952518518537,1.0
2025-05-06,52614.462085048006,32655.062573614614,56177.2968702491,36617.506069563606,36616.905291563606,150.46932122222262,716.386809050113,37333.29210061372,1782.4952518518537,1485.5469864197516,1.0
2025-05-07,56021.72105583934,34905.16078647449,59364.57783495176,37751.804082681265,37747.156783347935,0.0,0.0,37747.156783347935,1485.5469864197516,1592.274200774499,1.0
2025-05-08,61779.4450988651,37138.498593198856,59537.685749751174,37939.3809575634,38013.06000089674,35.999250000000075,243.2289326250005,38256.28893352174,1592.274200774499,1705.5535909141095,1.0
2025-05-09,27651.902095863607,14442.83868788146,28302.875169338884,15375.093208247432,15372.293140914098,0.0,0.0,15372.293140914098,1705.5535909141095,2275.5401055053744,1.0
2025-05-10,26761.634421009112,13997.554071411494,27378.584357127147,14869.443367939844,14800.44333760651,0.0,0.0,14800.44333760651,2275.5401055053744,1744.7919673490776,1.0
2025-05-11,59252.26113958447,35825.00719674124,58708.49070540774,36579.31725553259,36573.25739469195,158.29311203703844,1077.99615422038,37651.25354891233,1744.7919673490776,1456.9217309259263,1.0
2025-05-12,52341.61413151038,32600.522733236496,56198.76907552182,36037.74428566729,36047.28409784126,0.0,0.0,36047.28409784126,1456.9217309259263,2065.2833376985373,1.0
2025-05-13,60801.638038335215,37304.42968885044,57718.766209151145,36420.653094599824,36415.609552599824,0.0,0.0,36415.609552599824,2065.2833376985373,1990.3216942124996,1.0
2025-05-14,61133.068371764915,37785.31569462966,56619.221644446865,36427.3167574721,36416.48208613877,0.0,0.0,36416.48208613877,1990.3216942124996,1902.7839839609085,1.0
2025-05-15,60697.33631264049,38643.17511444136,57845.55469616397,37510.69791268227,37589.05668168227,0.0,0.0,37589.05668168227,1902.7839839609085,2878.639837879514,1.0
2025-05-16,26855.131522011103,15166.70276048496,25869.602449094433,14656.784769868931,14671.004737289199,0.0,0.0,14671.004737289199,2878.639837879514,2289.079329721412,1.0
2025-05-17,27450.719299104465,15158.436424077092,27191.128726529398,15134.798015932516,15054.989553512249,0.0,0.0,15054.989553512249,2289.079329721412,2210.0278846444867,1.0
2025-05-18,65545.94535625681,39904.77372032508,58512.13972212537,38032.37094013045,38023.29726813045,0.0,0.0,38023.29726813045,2210.0278846444867,2750.0382262425705,1.0
2025-05-19,58927.74452506492,36364.82890945535,55995.55211546951,35654.67983630848,35668.193065308486,32.308333333333394,217.90355416666708,35886.09661947515,2750.0382262425705,2653.23517327796,1.0
2025-05-20,58412.72412236626,36249.41816321574,57274.73634138383,35728.38218401329,35722.07009534662,0.0,0.0,35722.07009534662,2653.23517327796,1808.4097103703698,1.0
2025-05-21,55365.9896479201,35061.30879366266,55667.69065669346,35377.65737915118,35362.37226504831,0.0,0.0,35362.37226504831,1808.4097103703698,2097.527325987653,1.0
2025-05-22,56790.302874171815,36415.294314725266,55036.06472193073,35456.644917436366,35542.6760687441,0.0,0.0,35542.6760687441,2097.527325987653,2674.2748774650927,1.0
2025-05-23,27096.413709688954,15058.31857582425,26480.28130771879,14877.93913204737,14896.83800950917,0.0,0.0,14896.83800950917,2674.2748774650927,2450.774565479634,1.0
2025-05-24,28092.088446135454,16034.188039304185,26237.965584525817,14999.627247286026,14921.931970952694,11.54989166666676,48.752092725000395,14970.684063677694,2450.774565479634,2471.2566883333334,1.0
2025-05-25,58516.12333542695,36692.13878205962,55233.808587772626,35538.85664629637,35530.219482629705,0.0,0.0,35530.219482629705,2471.2566883333334,2523.3716014364168,1.0
2025-05-26,56062.30579302923,35656.51798801779,58046.08943606028,37074.072402226375,37078.64772222637,0.0,0.0,37078.64772222637,2523.3716014364168,2378.5879204138137,1.0
2025-05-27,52729.20202007205,33774.56255165762,53281.59468101169,34188.064333663955,34201.90004433062,88.2538054999999,463.6199971774995,34665.52004150812,2378.5879204138137,2281.864621388889,1.0
