policy,date,settlement_cost_yuan,emergency_kwh,emergency_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh
6+18,2025-08-19,47517.301773614905,777.3076249999971,3118.8890133110963,50636.190786926,1214.1675536111115,1200.0000000000002
6+18,2025-08-20,52416.30576848071,642.0906550277797,2554.9171016299138,54971.22287011063,1200.0000000000002,1200.0
6+18,2025-08-21,50211.25892061194,422.3867972222217,1859.722862643051,52070.98178325499,1200.0,1200.0000000000002
6+18,2025-08-22,25131.77301976711,917.9380379444444,3442.9890340558068,28574.762053822917,1200.0000000000002,1206.6768518518543
6+18,2025-08-23,24489.43512414454,892.1091583333321,3426.928925302773,27916.364049447315,1206.6768518518543,1200.0000000000005
6+18,2025-08-24,47571.71755900374,1090.2221132222235,4471.111958201893,52042.82951720563,1200.0000000000005,1200.0
6+18,2025-08-25,60900.30776947139,167.738033333334,513.1654134125017,61413.473182883885,1200.0,1200.000000000002
6+18,2025-08-26,50138.79024647586,430.93155555555745,1491.4430148930628,51630.23326136892,1200.000000000002,1199.9999999999993
6+18,2025-08-27,54832.65425508852,179.97628611111134,730.2116640138893,55562.86591910241,1199.9999999999993,1208.8326075
6+18,2025-08-28,53127.2604486478,1043.267866666663,3800.9431817402533,56928.20363038805,1208.8326075,1200.0000000000002
6+18,2025-08-29,26545.39009948844,158.9606527777771,557.5737754888863,27102.963874977326,1200.0000000000002,1200.0
6+18,2025-08-30,25855.675335098138,461.729392361111,1352.994031937501,27208.66936703564,1200.0,1199.9999999999995
6+18,2025-08-31,50067.400021800495,600.8483472222217,2303.7094401263857,52371.109461926884,1199.9999999999995,1199.9999999999998
6+18,2025-09-01,53178.63305755824,0.0,0.0,53178.63305755824,1199.9999999999998,1200.0000000000011
6+18,2025-09-02,51583.571137761806,56.47115833333328,295.255893708333,51878.82703147014,1200.0000000000011,1200.0000000000002
6+18,2025-09-03,51228.1260044886,0.0,0.0,51228.1260044886,1200.0000000000002,1213.1140596296302
6+18,2025-09-04,50261.812810052696,25.183074999999917,133.90731258749958,50395.720122640196,1213.1140596296302,1233.9759593518513
6+18,2025-09-05,25309.61988700959,82.14251944444476,200.63873200138954,25510.25861901098,1233.9759593518513,1400.8938584876557
6+18,2025-09-06,24820.75271042688,0.0,0.0,24820.75271042688,1400.8938584876557,1659.2711351851865
6+18,2025-09-07,45152.084183511004,341.2352555555559,1696.461957002779,46848.54614051378,1659.2711351851865,1381.2918599999991
6+18,2025-09-08,44286.59223845617,728.895330555556,2830.1749221458344,47116.76716060201,1381.2918599999991,1275.9030525000019
6+18,2025-09-09,40306.02381795659,1115.2424990226348,4508.6282510297115,44814.6520689863,1275.9030525000019,1201.6702500000017
6+18,2025-09-10,43906.10017632224,2008.3216166666657,8156.791429961109,52062.891606283345,1201.6702500000017,1200.0000000000018
6+18,2025-09-11,44890.33930989204,550.3428722222213,2173.7636338874954,47064.10294377954,1200.0000000000018,1205.8580490740744
6+18,2025-09-12,18609.224122195235,897.3682777777781,3202.0516917486098,21811.275813943845,1205.8580490740744,1200.0000000000005
6+18,2025-09-13,18573.221978798094,440.7276189170091,1692.953015769146,20266.17499456724,1200.0000000000005,1200.0
6+18,2025-09-14,47961.06457590802,667.0815615000002,2372.497921408999,50333.56249731702,1200.0,1200.0000000000027
