policy,date,plan_cost_yuan,adjustment_fee_yuan,settlement_cost_yuan,emergency_kwh,emergency_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh
6+12+18,2025-04-10,39964.802160222695,330.02716906953657,40362.256860625566,350.4469611111107,1452.4597790180537,41814.71663964362,1204.836111111111,1200.0000000000023
6+12+18,2025-04-11,13784.554203823653,440.9506134708288,14221.986025627813,552.1943666666705,2170.56117674724,16392.547202375055,1200.0000000000023,1200.0000000000007
6+12+18,2025-04-12,15202.046713059228,0.0,15133.065568392562,234.38835277777775,756.2820745402777,15889.347642932838,1200.0000000000007,1200.0000000000014
6+12+18,2025-04-13,39083.01062588034,0.0,39086.04587321367,150.78150000000034,587.6061686430578,39673.65204185672,1200.0000000000014,1239.233122407408
6+12+18,2025-04-14,40786.60579822576,0.0,40789.5416285591,519.0900722222206,2101.658055906938,42891.19968446604,1239.233122407408,1200.2486936111122
6+12+18,2025-04-15,35506.85187206275,1818.9528490033094,37326.08800606606,148.71961447976548,767.4889028057004,38093.57690887176,1200.2486936111122,1200.000000000001
6+12+18,2025-04-16,38339.71326925914,1820.5996400789106,40161.762829671374,385.09298175583785,1580.981948420933,41742.74477809231,1200.000000000001,1200.0000000000014
6+12+18,2025-04-17,36062.77860115094,2277.868496231961,38413.371167382895,256.6727340534974,1060.3938657069414,39473.76503308984,1200.0000000000014,1200.0000000000005
6+12+18,2025-04-18,14055.932235715132,0.0,14046.7929983818,300.43564722222186,1162.0327663041646,15208.825764685964,1200.0000000000005,1199.9999999999995
6+12+18,2025-04-19,13629.755000940215,494.3477781039336,14058.710623710815,279.7209722222223,832.6891113097228,14891.399735020537,1199.9999999999995,1200.0
6+12+18,2025-04-20,37140.07498345966,109.33112445468032,37257.12892024766,164.02995141666673,491.2414832457654,37748.37040349343,1200.0,1199.999999999999
6+12+18,2025-04-21,38674.368243971214,0.0,38667.559070304545,611.5821166666647,2347.2078833263768,41014.766953630926,1199.999999999999,1201.2564814814814
6+12+18,2025-04-22,34926.37107670256,2288.079418623849,37215.670224326415,362.6141905277789,1447.0479255565897,38662.718149883,1201.2564814814814,1200.000000000002
6+12+18,2025-04-23,33688.99386135088,2395.8760406623887,36083.49231734661,506.98418333333376,1525.6402524597224,37609.13256980633,1200.000000000002,1200.000000000001
6+12+18,2025-04-24,35101.38158817774,606.3367169475043,35783.76660879191,216.00362499999937,937.792462724998,36721.55907151691,1200.000000000001,1229.5447892592606
6+12+18,2025-04-25,13746.571519832192,0.0,13734.394184498859,166.99092222222265,549.421688166668,14283.815872665527,1229.5447892592606,1200.0000000000018
6+12+18,2025-04-26,13610.06397664642,0.0,13538.61949964642,255.42689722222264,895.4612936750016,14434.080793321422,1200.0000000000018,1200.0000000000002
6+12+18,2025-04-27,34615.34632133502,780.1391815272677,35398.59914352895,526.528602777778,2122.2459118625015,37520.84505539145,1200.0000000000002,1199.999999999999
6+12+18,2025-04-28,40938.73811688909,1.17200992935975,40942.94359248511,234.52386111111161,899.6209173402813,41842.564509825395,1199.999999999999,1209.4005000000013
6+12+18,2025-04-29,35831.1943256182,439.54573828666645,36254.134574238204,151.10689444444364,678.780918655554,36932.91549289376,1209.4005000000013,1200.000000000001
6+12+18,2025-04-30,34286.249765275476,0.0,34290.76807194214,781.7107305555555,3254.195279187499,37544.96335112964,1200.000000000001,1200.0
6+12+18,2025-05-01,35873.49948744516,0.0,35949.54779111183,2309.2206519547344,10715.888637349854,46665.43642846168,1200.0,1202.7916666666667
6+12+18,2025-05-02,14661.209677365074,0.0,14653.026126031742,1635.5963888888878,7538.397924373605,22191.424050405345,1202.7916666666667,1200.0
6+12+18,2025-05-03,14045.714423273417,509.2639923221611,14487.798179595577,1357.9472249999997,6374.795749169443,20862.593928765018,1200.0,1200.0
6+12+18,2025-05-04,38041.93185489415,722.4895312177655,38763.791745111914,1676.26106388889,7116.973300530559,45880.765045642474,1200.0,1199.9999999999995
6+12+18,2025-05-05,40163.78929456133,534.8953791812456,40699.70806307591,969.319780555555,4116.220119283331,44815.92818235924,1199.9999999999995,1199.9999999999989
6+12+18,2025-05-06,34904.46440433063,2520.004483956964,37423.75729062093,1207.7477527777792,4737.34576588195,42161.10305650288,1199.9999999999989,1200.0
6+12+18,2025-05-07,37379.0171076851,1636.122699919599,39010.49250827136,527.442408333333,2343.418376402776,41353.91088467414,1200.0,1200.0
6+12+18,2025-05-08,40295.15000425359,976.7415669970835,41345.71635491735,730.8148444444453,3270.4754814513913,44616.191836368744,1200.0,1200.0
6+12+18,2025-05-09,15368.513502471767,1150.7300195536632,16516.40853402543,385.93951351166595,1547.5978949639743,18064.006428989407,1200.0,1199.999999999999
6+12+18,2025-05-10,15440.96877678374,1127.4203436710432,16498.11234778812,288.18487738888837,1054.5344411616643,17552.646788949784,1199.999999999999,1200.0000000000002
6+12+18,2025-05-11,39170.555865185954,1740.931546510666,40905.23589969662,474.0169218333337,2149.9194798545577,43055.15537955118,1200.0000000000002,1199.9999999999995
6+12+18,2025-05-12,35840.56708098862,3389.940492124432,39240.128216779725,310.6169972222223,1400.2207377208342,40640.34895450056,1199.9999999999995,1200.0000000000011
6+12+18,2025-05-13,40510.65993024333,784.5036741659478,41290.23088207595,159.66852500000047,696.3726331527793,41986.60351522873,1200.0000000000011,1200.0000000000002
6+12+18,2025-05-14,40585.916480702515,177.33306816856935,40752.41487753775,364.47181111111126,1318.3890216083328,42070.80389914608,1200.0000000000002,1272.414307222222
6+12+18,2025-05-15,41032.46024619159,922.5224918140448,42031.08841133898,276.92112499999996,933.8170068263889,42964.90541816536,1272.414307222222,1279.2339476851855
6+12+18,2025-05-16,16870.167513870594,84.4244069425007,16968.890864813093,217.0596694444443,775.2348414541666,17744.12570626726,1279.2339476851855,1215.67164
6+12+18,2025-05-17,16583.149278842233,0.0,16503.792063842233,206.84629444444425,594.495800409722,17098.287864251954,1215.67164,1307.2648181481518
6+12+18,2025-05-18,42250.26864692077,0.0,42241.19497492077,178.45439999999928,424.4764089999985,42665.671383920766,1307.2648181481518,1200.0000000000011
6+12+18,2025-05-19,38830.206715054184,149.92244303883137,38994.53464575968,98.42877777777774,536.4538798430558,39530.98852560274,1200.0000000000011,1212.490882685186
6+12+18,2025-05-20,38546.499045316756,727.6912935168518,39267.87825016694,299.244394513033,1215.6295138097628,40483.507763976704,1212.490882685186,1334.920266481484
6+12+18,2025-05-21,36680.014718964376,2667.2630394758808,39333.63197344026,218.68716152263232,554.3479505215439,39887.9799239618,1334.920266481484,1294.0211825925942
6+12+18,2025-05-22,38782.561003665134,0.0,38858.88118966513,219.32789166666572,602.0435870194401,39460.92477668457,1294.0211825925942,1285.1100241358024
6+12+18,2025-05-23,16212.224482886142,458.0210060200003,16682.060789572806,124.47845000000001,269.85864230000004,16951.919431872808,1285.1100241358024,1211.8955182407415
6+12+18,2025-05-24,16908.99302470057,0.0,16834.077861033897,252.1991027777773,964.4403489166644,17798.518209950562,1211.8955182407415,1395.3891712962957
6+12+18,2025-05-25,39077.84262208865,0.0,39071.80918608865,199.14965277777782,808.4688972361112,39880.27808332476,1395.3891712962957,1374.0130544135793
6+12+18,2025-05-26,37994.46239433608,1838.5362916885613,39844.923024691314,362.4012194444443,1204.5365306736112,41049.45955536493,1374.0130544135793,1328.4929711111113
6+12+18,2025-05-27,36111.325099051115,2679.127720071907,38796.643041789685,586.3369527777788,2403.150541800005,41199.79358358969,1328.4929711111113,1444.7476902777785
6+12+18,2025-05-28,39973.133010055,102.50126330012237,40055.35071102178,192.06455833333325,526.1925123874996,40581.54322340928,1444.7476902777785,1431.7489953703703
6+12+18,2025-05-29,39714.99747343885,662.7203754618906,40454.42394390074,405.56226111111096,1444.745060347222,41899.16900424797,1431.7489953703703,1549.7772187345681
6+12+18,2025-05-30,15997.910337973559,49.696789308749985,16050.006675948975,362.66681388888895,1130.6121484166674,17180.618824365643,1549.7772187345681,1453.4331136111134
6+12+18,2025-05-31,17796.332837184113,0.0,17727.736888850777,208.76950555555604,530.8893099902789,18258.626198841055,1453.4331136111134,1514.8624163580255
6+12+18,2025-06-01,49390.77760955114,0.0,49394.32134455114,4363.488077777778,17283.713376201387,66678.03472075253,1514.8624163580255,1309.4993380555577
6+12+18,2025-06-02,50291.41945101884,0.0,50297.12898001884,3848.008462379974,14416.019925752164,64713.148905771,1309.4993380555577,1199.9999999999998
6+12+18,2025-06-03,46526.56070539567,1647.5238025758317,48162.52184763817,2933.3030747431385,11003.33234143703,59165.8541890752,1199.9999999999998,1200.0000000000007
6+12+18,2025-06-04,54113.11383163188,862.701509010976,54944.40135030952,2410.764827777777,7731.740861579158,62676.14221188868,1200.0000000000007,1201.302777777778
6+12+18,2025-06-05,46292.352186627766,1541.148857052919,47908.202051014014,2602.097894444443,10209.703617163881,58117.9056681779,1201.302777777778,1200.0000000000002
6+12+18,2025-06-06,21317.712235088322,92.98013412749812,21408.27927988249,788.6658149722207,2877.2081075864685,24285.48738746896,1200.0000000000002,1199.9999999999995
6+12+18,2025-06-07,23404.781358613378,656.9405605420834,23982.96726382213,450.4404805555549,1657.1289640027767,25640.096227824906,1199.9999999999995,1200.0000000000002
6+12+18,2025-06-08,46968.314241148255,4265.592794482208,51230.8682249638,226.92048041666416,843.1541951880467,52074.02242015185,1200.0000000000002,1200.0000000000002
6+12+18,2025-06-09,52627.18640059973,0.0,52631.74390393306,621.5001083333345,2130.3120373708384,54762.05594130389,1200.0000000000002,1199.9999999999995
6+12+18,2025-06-10,48841.39953294763,2112.689263628831,50957.831365576465,979.156702777777,3253.2452291055524,54211.07659468202,1199.9999999999995,1199.9999999999993
6+12+18,2025-06-11,52909.41990627713,3751.707963782473,56649.8264020596,413.46555864197535,1616.879584033641,58266.70598609324,1199.9999999999993,1201.1212962962948
