policy,date,time_start,price_yuan_per_kwh,initial_plan_kwh,final_contract_kwh,adjustment_fee_yuan,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,actual_net_kwh,emergency_kwh,surplus_kwh
6+12+18_frozen0,2025-11-01,03:00,0.4357,445.02666666666664,445.02666666666664,0.0,0.0,0.0,6609.067925925925,6609.067925925925,454.38666666666666,9.360000000000014,0.0
6+12+18_frozen0,2025-11-01,03:10,0.4374,457.8835999999999,457.8835999999999,0.0,0.0,0.0,6609.067925925925,6609.067925925925,453.7268833333333,0.0,4.1567166666665685
6+12+18_frozen0,2025-11-01,03:20,0.4371,443.658675,443.658675,0.0,0.0,0.0,6609.067925925925,6609.067925925925,475.3743833333333,31.715708333333282,0.0
6+12+18_frozen0,2025-11-01,03:30,0.4356,443.5625000000001,443.5625000000001,0.0,0.0,0.0,6609.067925925925,6609.067925925925,495.655,52.09249999999986,0.0
6+12+18_frozen0,2025-11-01,03:40,0.4353,463.9410416666667,463.9410416666667,0.0,0.0,0.0,6609.067925925925,6609.067925925925,475.39373333333333,11.452691666666624,0.0
6+12+18_frozen0,2025-11-01,03:50,0.436,467.67539166666666,467.67539166666666,0.0,0.0,0.0,6609.067925925925,6609.067925925925,434.67879999999997,0.0,32.99659166666669
6+12+18_frozen0,2025-11-01,04:00,0.4378,451.3608333333333,451.3608333333333,0.0,0.0,0.0,6609.067925925925,6609.067925925925,406.88,0.0,44.480833333333294
6+12+18_frozen0,2025-11-01,04:10,0.4401,446.49765,446.49765,0.0,0.0,0.0,6609.067925925925,6609.067925925925,412.9515833333333,0.0,33.54606666666672
6+12+18_frozen0,2025-11-01,04:20,0.4389,466.73707499999995,466.73707499999995,0.0,0.0,0.0,6609.067925925925,6609.067925925925,432.2901499999999,0.0,34.44692500000002
6+12+18_frozen0,2025-11-01,04:30,0.4364,453.0758333333333,453.0758333333333,0.0,0.0,0.0,6609.067925925925,6609.067925925925,448.34999999999997,0.0,4.725833333333355
6+12+18_frozen0,2025-11-01,04:40,0.4393,447.6276833333334,447.6276833333334,0.0,0.0,0.0,6609.067925925925,6609.067925925925,455.88961666666665,8.261933333333275,0.0
6+12+18_frozen0,2025-11-01,04:50,0.4422,468.2712583333333,468.2712583333333,0.0,0.0,0.0,6609.067925925925,6609.067925925925,439.08816666666667,0.0,29.183091666666655
6+12+18_frozen0,2025-11-01,05:00,0.4395,488.6424999999999,488.6424999999999,0.0,0.0,0.0,6609.067925925925,6609.067925925925,422.78666666666663,0.0,65.8558333333333
6+12+18_frozen0,2025-11-01,05:10,0.4333,447.34546666666654,447.34546666666654,0.0,0.0,0.0,6609.067925925925,6609.067925925925,450.6820333333333,3.3365666666667835,0.0
6+12+18_frozen0,2025-11-01,05:20,0.4439,462.2941083333334,462.2941083333334,0.0,0.0,0.0,6609.067925925925,6609.067925925925,470.60178333333334,8.30767499999996,0.0
6+12+18_frozen0,2025-11-01,05:30,0.4301,484.0091666666667,484.0091666666667,0.0,0.0,0.0,6609.067925925925,6609.067925925925,464.0733333333333,0.0,19.93583333333339
6+12+18_frozen0,2025-11-01,05:40,0.3713,1315.2180999999998,1315.2180999999998,0.0,833.3333333333333,0.0,6609.067925925925,7359.067925925925,462.6386333333333,0.0,19.246133333333262
